"S_ID","S_Bundesland","S_Name","OrteimGebiet","Tourismusregion","Schiverbund","seehoehevon","seehoehebis","Pistenkm","S_gondeln","S_sessel","S_schlepp"
41,"Noe","Sonnwendstein-Maria Schutz**","Schottwien","","",700,1523,7,0,1,3
42,"Noe","Unterberg","Pernitz","","",710,1342,15,0,0,4
43,"Noe","Wechsel","St. Corona am Wechsel","","",840,1420,17,0,2,2
44,"Ooe","Feuerkogel","Ebensee","","",443,1625,12,1,1,5
45,"Ooe","Freistadt","Freistadt","","",595,685,0.5,0,0,1
46,"Ooe","Forsteralm","Gaflenz","","",720,1100,16,0,1,6
47,"Ooe","Glasenberg","Maria Neustift","","",850,971,4,0,0,1
48,"Ooe","Gosau","Gosau","","",750,2000,7,0,1,5
49,"Ooe","Hansberg","Sankt Johann am Wimberg","","",850,930,1.5,0,0,3
50,"Ooe","Hinterstoder","Hinterstoder","","",600,1860,22,1,3,8
