"INSI_1x";"Informationssysteme und IT-Sicherheit";;;;;;;;;;;;"L1";1.16700;;;;;;"INSI_1";;
"INSI_1y";"Informationssysteme und IT-Sicherheit";;;;;;;;;;;;"L1";1.16700;;;;;;"INSI_1";;
"INSY";"Informationssysteme";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"INSYx";"Informationssysteme x-Gruppe";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"INSY";;
"INSYx-E";"INSY ESF";;;;;;;;;;;;"L1";1.16700;;;;;;"INSY";;
"INSYy";"Informationssysteme y-Gruppe";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"INSY";;
"IOT";"Wahlpflichtgegenstand Internet of Things";;;;;;;;;;;;"L1";1.16700;;;;;;"INF1";;
"ITP2";"Informationstechnologie Projekte";;;;;;;;;;;;"L2";1.10500;;;;;;;;
"ITPR";"IT-Praktikum FS";;;;;;;;;;;;"L3";1.05000;;;;;;;;
"JF_AVs";"Joure Fixe für AVs";;;;;;;;;;;;"LX";0.00000;;;;;;;;
"JF_Sokrates";"Jour Fixe Sokrates-Team";;;;;;;;;;;;"LX";0.00000;;;;;;;;
"KGKP";"Kunstgeschichte und Kulturphilosophie";;;;;;;;;;;;"L2";1.10500;;;;;;;;
"KLS";"Kommunikation und Lernstrategien";;;;;;;;;;;;"L3";1.05000;;;;;;"SOPK";;
"KOM1";"Kommunikation";;;;;;;;;;;;"L1";1.16700;;;;;;"KOM1";;
"KOM2";"Kommunikation";;;;;;;;;;;;"L2";1.10500;;;;;;"KOM2";;
"KPRA";"KOMMUNIKATION & PRÄSENTATIONSTECHNIK (LVG 2)";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"KUST_2";"KUST FACHTH. UNT.";;;"I";;;;;;;;;"L2";1.10500;"Kust";;;;;;;
"KWI";"Kreativwirtschaft";;;;;;;;;;;;"L2";1.10500;;;;;;"KOM2";;
"LA1";"LABORATORIUM";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"LQPM";"LandesqualitätsprozessmanagerIn";;;"I";;;;;;;;;"L99";1.00000;;;;;;"QRK";;
"M2";"Mathematik";;;;;;;;;;;;"L2";1.10500;;;;;;"M2";;
"MDSG";"MEDIEN-DESIGN / KD-Kolleg Abend";;;;;;;;;;;;"L2";1.10500;;;;;;;;
"MED2";"Medientechnik";;;;;;;;;;;;"L2";1.10500;;;;;;"MULP";;
"MED2x";"Medientechnik x-Gruppe";;;;;;;;;;;;"L2";1.10500;;;0;8454143;;"MED2";;
"MED2y";"Medientechnik y-Gruppe";;;;;;;;;;;;"L2";1.10500;;;0;8454143;;"MED2";;
"MEDT";"MEDIENTECHNIK (LVG 1)";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"MEDTx";"Medientechnik x-Gruppe";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"MEDT";;
"MEDTy";"Medientechnik y-Gruppe";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"MEDT";;
"MEP_3";"Medienproduktion 3 - 2013 - 2018";;;;;;;;;;;;"L3";1.05000;;;;;;;;
"MET1";"Maschinen- und Elektrotechnik";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"MET1x";"Maschinen- und Elektrotechnik";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"MET1";;
"MET1y";"Maschinen- und Elektrotechnik";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"MET1";;
"METE";"Mechanische Technologie";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"MGAN";"Mediengestaltung - Animation";;;;;;;;;;;;"L2";1.10500;;;;;;;;
"MGG";"Mediengestaltung";;;;;;;;;;;;"L2";1.10500;;;;;;"MGG";;
"MGGD";"Mediengestaltung - Gamedesign";;;;;;;;;;;;"L2";1.10500;;;;;;;;
"MGIN";"Medizin- und Gesundheitsinformatik";;;;;;;;;;;;"L1";1.16700;;;;;;"MSIT";;
"MGINx";"Medizin- und Gesundheitsinformatik x-Gruppe";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"MSIT";;
"MGINy";"Medizin- und Gesundheitsinformatik y-Gruppe";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"MSIT";;
"MGT";"Medizinische Gerätetechnik";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"MIS";"Medizinische Informationssysteme";;;;;;;;;;;;"L1";1.16700;;;;;;"MSIT";;
"MISx";"Medizinische Informationssysteme, x-Gruppe";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"MSIT";;
"MISy";"Medizinische Informationssysteme, y-Gruppe";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"MSIT";;
"MP3";"Medienprojekte (LP 2013-2018)";;;;;;;;;;;;"L3";1.05000;;;;;;"MEP_3";;
"MP3-E";"Medienprojekte ESF";;;;;;;;;;;;"L3";1.05000;;;;;;"MEP_3";;
"MPAN";"Medienproduktion - Animation";;;;;;;;;;;;"L3";1.05000;;;;;;;;
"MPANx";"Medienproduktion - Animation x-Gruppe";;;;;;;;;;;;"L3";1.05000;;;;;;"MPAN";;
"MPANy";"Medienproduktion - Animation y-Gruppe";;;;;;;;;;;;"L3";1.05000;;;;;;"MPAN";;
"MPGD";"Medienproduktion - Gamedesign";;;;;;;;;;;;"L3";1.05000;;;;;;;;
"MPJ";"Medienprojekt";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"MPJx-E";"Medienprojekt ESF";;;;;;;;;;;;"L1";1.16700;;;;;;"MPJ";;
"MPJy";"Medienprojekt y-Gruppe";;;;;;;;;;;;"L1";1.16700;;;;;;"MPJ";;
"MSRT";"MESS-STEUR.-REGEL";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"MT";"Mechanische Technologie";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"MTAI";"Medientechnologie - Animation und Angewandte Informatik";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"MTAIx";"Medientechnologie - Animation und Angewandte Informatik x-Gruppe";;;;;;;;;;;;"L1";1.16700;;;;;;"MTAI";;
"MTAIy";"Medientechnologie - Animation und Angewandte Informatik y-Gruppe";;;;;;;;;;;;"L1";1.16700;;;;;;"MTAI";;
"MTGI";"Medientechnologie - Gamedesign und Angewandte Informatik";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"MTIN";"Medientechnologie und angewandte Informatik";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"MTKG";"Medientheorie und Kunstgeschichte";;;;;;;;;;;;"L3";1.05000;;;;;;;;
"MTx";"Mechanische Technologie X-Gruppe";;;;;;;;;;;;"L1";1.16700;;;;;;"MT";;
"MTy";"Mechanische Technologie Y-Gruppe";;;;;;;;;;;;"L1";1.16700;;;;;;"MT";;
"MUL1";"MULTIMEDIA";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"MUW";"Marketing und Werbung";;;;;;;;;;;;"L2";1.10500;;;;;;;;
"MWI2";"Medienwirtschaft";;;;;;;;;;;;"L2";1.10500;;;;;;;;
"NBU";"NL Bibliothek";;;"I";;;;;;;;;"L2";1.10500;"Kust";;;;;"NBU";;
"NCAD";"NL CAD";;;"I";;;;;;;;;"L2";1.10500;"Kust";;;;;;;
"NDVA";"NL Datenverarbeitungsanlagen";;;"I";;;;;;;;;"L2";1.10500;"Kust";;;;;;;
"NEBL_2";"Nebenleistungen";;;"I";;;;;;;;;"L2";1.10500;"Kust";;;;;;;
"NEES";"Netzwerke und Embedded Systems";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"NSCS_1";"Netzwerksysteme und Cyber Security";;;;;;;;;;;;"L1";1.16700;;;;;;"NSCS_1";;
"NSCS_1x";"Netzwerksysteme und Cyber Security x-Gruppe";;;;;;;;;;;;"L1";1.16700;;;;;;"NSCS_1";;
"NSCS_1y";"Netzwerksysteme und Cyber Security y-Gruppe";;;;;;;;;;;;"L1";1.16700;;;;;;"NSCS_1";;
"NVS1";"Netzwerk- und verteilte Systeme";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"NVS1x";"Netzwerk- und verteilte Systeme x-Gruppe";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"NWT1";;
"NVS1y";"Netzwerk- und verteilte Systeme y-Gruppe";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"NWT1";;
"NW2";"Naturwissenschaften";;;;;;;;;;;;"L2";1.10500;;;;;;;;
"NWES";"Netzwerke und Embedded Systems";;;;;;;;;;;;"L1";1.16700;;;;;;"NWES";;
