268;"3ACIF";"DRS";"TINF_1";"C1.13";2;13;;
268;"3ACIF";"DRS";"TINF_1";"C1.13";2;14;;
269;"3ACIF";"MRS";"NVS1";"B3.11NW";2;15;;
269;"3ACIF";"MRS";"NVS1";"B3.11NW";2;16;;
269;"3ACIF";"OM";"NVS1";"B3.11NW";2;15;;
269;"3ACIF";"OM";"NVS1";"B3.11NW";2;16;;
277;"3ACIF";"PUE";"PRE";"C1.13";3;15;;
277;"3ACIF";"PUE";"PRE";"C1.13";3;16;;
278;"3ACIF";"FRF";"BWM";"C1.13";3;11;;
278;"3ACIF";"FRF";"BWM";"C1.13";3;12;;
4024;"1AHWII";"MGE";"GGP";"A1.06";4;2;;
4350;"1AHWII";"BV";"GGP";"A1.06";3;7;;
4350;"1AHWII";"BV";"GGP";"A1.06";4;2;;
4022;"1AHWII";"OEM";"GGP";"A1.06";3;7;;
281;"1AHWIT";"GRB";"PMM";"A1.05";5;8;;
281;"1AHWIT";"GRB";"PMM";"A1.05";5;9;;
282;"1AHWIT";"KOE";"NW2";"A1.05";1;4;;
282;"1AHWIT";"KOE";"NW2";"A1.05";5;1;;
282;"1AHWIT";"KOE";"NW2";"A1.05";5;2;;
283;"1AHWIT";"SED";"SOPK";"A1.05";2;9;;
283;"1AHWIT";"SOR";"SOPK";"A1.05";2;9;;
284;"1AHWII";"BV";"GGP";"A1.06";3;7;;
284;"1AHWII";"BV";"GGP";"A1.06";4;2;;
285;"1AHWII";"KOE";"NW2";"AH.32";1;7;;
285;"1AHWII";"KOE";"NW2";"AH.32";1;8;;
286;"1AHWII";"BIE";"BET";"A1.06";4;6;;
286;"1AHWII";"BIE";"BET";"A1.06";4;7;;
289;"2AHBGM";"SL";"E1x";"C2.09";1;1;;
289;"2AHBGM";"SL";"E1x";"C3.06";4;3;;
290;"2AHBGM";"ZIM";"AM";"C2.09";1;3;;
290;"2AHBGM";"ZIM";"AM";"C2.09";1;4;;
290;"2AHBGM";"ZIM";"AM";"C2.09";3;3;;
290;"2AHBGM";"ZIM";"AM";"C2.09";5;5;;
291;"2AHBGM";"PRE";"NW2";"DE.03";1;5;;
291;"2AHBGM";"PRE";"NW2";"DE.03";1;6;;
291;"2AHBGM";"PRE";"NW2";"C2.09";2;5;;
292;"2AHBGM";"BOK";"SOPK";"C2.09";5;7;;
292;"2AHBGM";"SWA";"SOPK";"C2.09";5;7;;
293;"2AHBGM";"CAM";"BMSV";"C2.09";3;6;;
293;"2AHBGM";"CAM";"BMSV";"C2.09";3;7;;
294;"2AHBGM";"BAR";"MGT";"C2.09";1;2;;
294;"2AHBGM";"BAR";"MGT";"C2.09";5;3;;
295;"2AHBGM";"HEB";"GOM3";"C2.09";4;1;;
295;"2AHBGM";"HEB";"GOM3";"C2.09";4;2;;
296;"2AHBGM";"SLK";"BMG2";"C2.09";4;7;;
